0	0.639961	0.01	0
0.25	0.639461	0.00959115	0.148343
0.5	0.63867	0.00917855	0.292432
0.75	0.638144	0.00914942	0.392632
1	0.637881	0.00924389	0.447852
1.251	0.637795	0.00928502	0.478009
1.501	0.637824	0.00923713	0.500363
1.751	0.637921	0.00913969	0.525381
2.001	0.638054	0.00905454	0.556417
2.251	0.638199	0.00902897	0.591229
2.501	0.638335	0.00907392	0.624934
2.751	0.638446	0.00916534	0.653789
3.001	0.638519	0.00926631	0.677451
3.251	0.638547	0.00935374	0.698476
3.501	0.638526	0.0094323	0.719962
3.751	0.63846	0.00952845	0.743131
4.001	0.638356	0.00966988	0.766317
4.251	0.638225	0.0098641	0.786004
4.501	0.638081	0.0100901	0.799257
4.751	0.637942	0.0103086	0.805871
5	0.637832	0.0104844	0.809078
5.25	0.637782	0.0106179	0.814833
5.5	0.637835	0.0107688	0.829645
5.75	0.638054	0.0110801	0.856591
6	0.638529	0.0117671	0.889956
6.25	0.639291	0.0129793	0.917791
6.5	0.639886	0.0143367	0.954886
6.75	0.639497	0.0151805	1.04165
7	0.638683	0.0158622	1.13178
7.25	0.638099	0.0164809	1.18474
7.5	0.637786	0.0168998	1.21145
7.75	0.637664	0.0171108	1.22783
8	0.637666	0.0171852	1.24325
8.25	0.637747	0.017214	1.26143
8.5	0.637873	0.0172706	1.28207
8.75	0.638017	0.0173878	1.30271
9	0.638158	0.017554	1.32086
9.25	0.638275	0.0177321	1.33564
9.5	0.638354	0.0178899	1.34804
9.75	0.638389	0.0180207	1.3598
10.001	0.638375	0.0181445	1.37213
10.251	0.638317	0.0182888	1.38468
10.501	0.63822	0.01847	1.39608
10.751	0.638095	0.0186798	1.40466
11.001	0.637953	0.0188888	1.40957
11.251	0.63781	0.0190616	1.41141
11.501	0.63769	0.0191797	1.41228
11.751	0.637622	0.0192651	1.41496
12.001	0.637648	0.0193973	1.4214
12.251	0.637834	0.0197134	1.4303
12.501	0.638269	0.0203769	1.43524
