0.001	0.132263	0.00367631	-0.057068	3.67578	
0.002	0.132178	0.00735103	-0.114053	3.6734	
0.003	0.132035	0.0110226	-0.170873	3.66945	
0.004	0.131836	0.0146894	-0.227446	3.66394	
0.005	0.13158	0.0183499	-0.283693	3.65688	
0.006	0.131269	0.0220027	-0.339535	3.64831	
0.007	0.130901	0.0256461	-0.394898	3.63825	
0.008	0.130479	0.0292787	-0.449708	3.62673	
0.009	0.130002	0.0328991	-0.503896	3.6138	
0.01	0.129472	0.0365058	-0.557396	3.59949	
0.011	0.128888	0.0400976	-0.610146	3.58385	
0.012	0.128251	0.0436731	-0.662087	3.56693	
0.013	0.127564	0.0472311	-0.713166	3.54878	
0.014	0.126825	0.0507703	-0.763333	3.52946	
0.015	0.126037	0.0542896	-0.812544	3.50901	
0.016	0.125201	0.057788	-0.860757	3.48751	
0.017	0.124316	0.0612643	-0.907936	3.465	
0.018	0.123385	0.0647176	-0.954051	3.44154	
0.019	0.122409	0.0681471	-0.999075	3.41721	
0.02	0.121387	0.0715518	-1.04298	3.39205	
0.021	0.120323	0.0749309	-1.08576	3.36613	
0.022	0.119216	0.0782838	-1.12739	3.3395	
0.023	0.118069	0.0816097	-1.16786	3.31223	
0.024	0.116881	0.0849081	-1.20717	3.28437	
0.025	0.115655	0.0881783	-1.24532	3.25598	
0.026	0.114391	0.0914199	-1.28229	3.22712	
0.027	0.11309	0.0946324	-1.31811	3.19783	
0.028	0.111755	0.0978154	-1.35276	3.16817	
0.029	0.110385	0.100969	-1.38627	3.13819	
0.03	0.108983	0.104092	-1.41864	3.10793	
0.031	0.107548	0.107184	-1.44989	3.07744	
0.032	0.106083	0.110247	-1.48003	3.04677	
0.033	0.104589	0.113278	-1.50908	3.01595	
0.034	0.103065	0.116278	-1.53705	2.98502	
0.035	0.101515	0.119248	-1.56398	2.95403	
0.036	0.0999379	0.122186	-1.58987	2.923	
0.037	0.0983355	0.125094	-1.61475	2.89197	
0.038	0.0967087	0.12797	-1.63865	2.86097	
0.039	0.0950585	0.130816	-1.66158	2.83002	
0.04	0.0933859	0.13363	-1.68357	2.79916	
0.041	0.0916917	0.136414	-1.70465	2.76841	
0.042	0.0899769	0.139167	-1.72484	2.73779	
0.043	0.0882423	0.14189	-1.74416	2.70732	
0.044	0.0864888	0.144582	-1.76264	2.67703	
0.045	0.0847173	0.147244	-1.7803	2.64692	
0.046	0.0829285	0.149876	-1.79717	2.61702	
0.047	0.0811232	0.152478	-1.81328	2.58734	
0.048	0.0793022	0.155051	-1.82864	2.55789	
0.049	0.0774662	0.157594	-1.84328	2.52869	
0.05	0.0756159	0.160108	-1.85723	2.49975	
0.051	0.0737519	0.162594	-1.8705	2.47107	
0.052	0.0718751	0.16505	-1.88313	2.44267	
0.053	0.0699859	0.167479	-1.89513	2.41455	
0.054	0.068085	0.16988	-1.90652	2.38672	
0.055	0.0661731	0.172253	-1.91732	2.35918	
0.056	0.0642506	0.174598	-1.92757	2.33194	
0.057	0.0623181	0.176917	-1.93727	2.30501	
0.058	0.0603762	0.179208	-1.94644	2.27838	
0.059	0.0584254	0.181473	-1.95511	2.25206	
0.06	0.0564661	0.183712	-1.96329	2.22606	
0.061	0.054499	0.185926	-1.97101	2.20036	
0.062	0.0525243	0.188113	-1.97827	2.17498	
0.063	0.0505426	0.190276	-1.9851	2.14991	
