0	1.00266	0.32	0	0
6.265	1.00266	0.320056	6.23962	0.0368762
12.53	1.00268	0.320223	6.19783	0.0747023
18.795	1.0027	0.3205	6.15959	0.114421
25.065	1.00278	0.320915	6.11252	0.141715
31.33	1.00283	0.321402	6.08656	0.18796
37.605	1.003	0.322064	6.04099	0.208255
43.875	1.00313	0.32278	6.01973	0.249186
50.155	1.00339	0.323658	5.98178	0.265659
56.43	1.00359	0.324566	5.97099	0.304242
62.715	1.00392	0.32561	5.94586	0.319589
69.005	1.00429	0.326734	5.92151	0.327492
75.295	1.00466	0.327883	5.91313	0.343743
81.59	1.00506	0.32908	5.90698	0.353291
87.89	1.0055	0.330308	5.9034	0.35633
94.195	1.00596	0.331552	5.90253	0.352944
100.505	1.00644	0.332795	5.90429	0.343107
106.815	1.00688	0.333987	5.92332	0.342212
113.135	1.00738	0.335187	5.9293	0.318967
119.455	1.00784	0.336309	5.95148	0.304099
125.78	1.0083	0.337379	5.97393	0.281601
132.11	1.00876	0.338385	5.99547	0.250901
138.44	1.00916	0.339281	6.03017	0.226973
144.775	1.00955	0.340092	6.0612	0.193455
151.11	1.00987	0.340777	6.10246	0.165189
157.45	1.01018	0.341357	6.13663	0.125626
163.79	1.0104	0.341793	6.1775	0.0895112
170.13	1.01055	0.342083	6.22319	0.0558764
176.475	1.01064	0.342229	6.25597	0.00801014
182.815	1.01063	0.342217	0.0222223	-0.0237034
189.16	1.01052	0.342042	0.0547503	-0.0717039
195.5	1.01035	0.341727	0.0999467	-0.105606
201.84	1.01011	0.341267	0.140072	-0.142117
208.18	1.00979	0.340665	0.173276	-0.182199
214.515	1.00945	0.339961	0.213335	-0.211103
220.85	1.00905	0.339132	0.242979	-0.245364
227.18	1.00864	0.338221	0.276092	-0.270133
233.51	1.00818	0.3372	0.295904	-0.30176
239.835	1.00771	0.336119	0.31648	-0.325257
246.155	1.00725	0.334986	0.336664	-0.341186
252.47	1.00679	0.333813	0.355514	-0.350006
258.785	1.00629	0.332578	0.357485	-0.36757
265.095	1.00581	0.331329	0.357102	-0.37856
271.395	1.0054	0.330118	0.36871	-0.367653
277.695	1.00496	0.328887	0.362912	-0.365786
283.99	1.00455	0.32769	0.354595	-0.357383
290.28	1.00419	0.326543	0.344133	-0.342237
296.57	1.00381	0.325423	0.317811	-0.335384
302.85	1.00354	0.324424	0.30506	-0.305699
309.13	1.00327	0.323484	0.278298	-0.283354
315.405	1.00308	0.322656	0.252931	-0.252421
321.68	1.00289	0.321913	0.216122	-0.227508
327.95	1.00278	0.321305	0.18345	-0.192589
334.22	1.00269	0.320799	0.142361	-0.162121
340.485	1.00267	0.320436	0.108597	-0.120004
346.75	1.00266	0.32018	0.0697771	-0.0805861
353.015	1.00265	0.320035	0.0276455	-0.0429378
359.28	1.00266	0.320001	6.26716	-0.00611567
365.545	1.00268	0.320079	6.22372	0.0308308
371.805	1.00267	0.320248	6.19643	0.0840782
378.075	1.00274	0.320565	6.14468	0.108885
384.34	1.00277	0.320965	6.11256	0.151858
390.61	1.00288	0.321502	6.07354	0.18341
396.88	1.00299	0.322138	6.04335	0.219634
403.155	1.00318	0.322905	6.00941	0.246057
409.43	1.00338	0.323753	5.98729	0.278694
